ключ,где на сайте,русский,узбекский,исправление
ui.start.resumeText,Экран-развилка (/start),Отвечено {done} из {total} вопросов. Можно продолжить с того же места.,{total} ta savoldan {done} tasiga javob berilgan. Toʻxtagan joyingizdan davom ettirishingiz mumkin.,
ui.start.resume,Экран-развилка (/start),Продолжить,Davom ettirish,
ui.start.restart,Экран-развилка (/start),Начать заново,Qaytadan boshlash,
ui.start.doneTitle,Экран-развилка (/start),Тесты пройдены!,Testlar yakunlandi!,
ui.start.doneText,Экран-развилка (/start),"Следующий шаг — короткий опрос о вас, ваших возможностях и цели.","Keyingi qadam — siz, imkoniyatlaringiz va maqsadingiz haqida qisqa soʻrovnoma.",
ui.start.continueToSurvey,Экран-развилка (/start),Дальше: опрос,Keyingisi: soʻrovnoma,
ui.start.surveyDoneTitle,Экран-развилка (/start),Профиль готов!,Profil tayyor!,
ui.start.surveyDoneText,Экран-развилка (/start),Тесты и опрос пройдены. Ваш бесплатный портрет уже ждёт.,Testlar va soʻrovnoma yakunlandi. Bepul portretingiz tayyor.,
ui.start.toTeaser,Экран-развилка (/start),Посмотреть мой портрет,Portretimni koʻrish,
ui.test.parts.big_five,Прохождение тестов (/test) — интерфейс вокруг вопросов,Личность,Shaxsiyat,
ui.test.parts.riasec,Прохождение тестов (/test) — интерфейс вокруг вопросов,Интересы,Qiziqishlar,
ui.test.parts.values,Прохождение тестов (/test) — интерфейс вокруг вопросов,Ценности,Qadriyatlar,
ui.test.parts.perception,Прохождение тестов (/test) — интерфейс вокруг вопросов,Как вы учитесь,Qanday oʻrganasiz,
ui.test.prompts.big_five,Прохождение тестов (/test) — интерфейс вокруг вопросов,Насколько это про вас?,Bu sizga qanchalik mos keladi?,
ui.test.prompts.riasec,Прохождение тестов (/test) — интерфейс вокруг вопросов,Насколько вам это интересно?,Bu sizga qanchalik qiziq?,
ui.test.prompts.values,Прохождение тестов (/test) — интерфейс вокруг вопросов,Насколько это важно для вас?,Bu siz uchun qanchalik muhim?,
ui.test.prompts.perception,Прохождение тестов (/test) — интерфейс вокруг вопросов,Насколько это про вас?,Bu sizga qanchalik mos keladi?,
ui.test.partOf,Прохождение тестов (/test) — интерфейс вокруг вопросов,Часть {n} из {total},{total} qismdan {n}-qism,
ui.test.questionOf,Прохождение тестов (/test) — интерфейс вокруг вопросов,Вопрос {n} из {total},{total} ta savoldan {n}-savol,
ui.test.back,Прохождение тестов (/test) — интерфейс вокруг вопросов,Назад,Orqaga,
ui.test.offline,Прохождение тестов (/test) — интерфейс вокруг вопросов,"Нет связи. Ответы сохранены на этом устройстве и отправятся, когда связь появится.",Aloqa yoʻq. Javoblar shu qurilmada saqlandi va aloqa tiklanganda yuboriladi.,
ui.test.sessionLost,Прохождение тестов (/test) — интерфейс вокруг вопросов,"Эта сессия больше не активна: возможно, тесты начаты заново в другой вкладке.","Bu sessiya endi faol emas: ehtimol, testlar boshqa oynada qaytadan boshlangan.",
ui.test.reload,Прохождение тестов (/test) — интерфейс вокруг вопросов,Обновить страницу,Sahifani yangilash,
ui.test.saving,Прохождение тестов (/test) — интерфейс вокруг вопросов,Сохраняем последние ответы…,Oxirgi javoblar saqlanmoqda…,
ui.test.devLink,Прохождение тестов (/test) — интерфейс вокруг вопросов,Посмотреть посчитанные баллы (страница для разработки),Hisoblangan ballarni koʻrish (ishlab chiqish uchun sahifa),
ui.survey.next,Контекстный опрос (/survey) — интерфейс вокруг вопросов,Далее,Keyingisi,
ui.survey.skip,Контекстный опрос (/survey) — интерфейс вокруг вопросов,Пропустить,Oʻtkazib yuborish,
ui.survey.back,Контекстный опрос (/survey) — интерфейс вокруг вопросов,Назад,Orqaga,
ui.survey.partOf,Контекстный опрос (/survey) — интерфейс вокруг вопросов,Часть {n} из {total},{total} qismdan {n}-qism,
ui.survey.questionOf,Контекстный опрос (/survey) — интерфейс вокруг вопросов,Вопрос {n} из {total},{total} ta savoldan {n}-savol,
ui.survey.numberRange,Контекстный опрос (/survey) — интерфейс вокруг вопросов,Число от {min} до {max},{min} dan {max} gacha son,
ui.survey.offline,Контекстный опрос (/survey) — интерфейс вокруг вопросов,"Нет связи. Ответы сохранены на этом устройстве и отправятся, когда связь появится.",Aloqa yoʻq. Javoblar shu qurilmada saqlandi va aloqa tiklanganda yuboriladi.,
ui.survey.sessionLost,Контекстный опрос (/survey) — интерфейс вокруг вопросов,"Эта сессия больше не активна: возможно, опрос начат заново в другой вкладке.","Bu sessiya endi faol emas: ehtimol, soʻrovnoma boshqa oynada qaytadan boshlangan.",
ui.survey.reload,Контекстный опрос (/survey) — интерфейс вокруг вопросов,Обновить страницу,Sahifani yangilash,
ui.survey.saving,Контекстный опрос (/survey) — интерфейс вокруг вопросов,Сохраняем последние ответы…,Oxirgi javoblar saqlanmoqda…,
ui.survey.devLink,Контекстный опрос (/survey) — интерфейс вокруг вопросов,Посмотреть собранный профиль (страница для разработки),Tuzilgan profilni koʻrish (ishlab chiqish uchun sahifa),
ui.survey.doneTitle,Контекстный опрос (/survey) — интерфейс вокруг вопросов,Опрос пройден!,Soʻrovnoma yakunlandi!,
ui.survey.doneText,Контекстный опрос (/survey) — интерфейс вокруг вопросов,Профиль готов. Сейчас откроется ваш бесплатный портрет.,Profil tayyor. Hozir bepul portretingiz ochiladi.,
ui.teaser.mockBadge,Страница бесплатного тизера (/teaser),Тестовый режим ИИ,Sunʼiy intellekt: test rejimi,
ui.teaser.mockNote,Страница бесплатного тизера (/teaser),"Сейчас показан готовый образец, а не настоящий анализ ваших ответов.","Hozir javoblaringizning haqiqiy tahlili emas, balki tayyor namuna koʻrsatilmoqda.",
ui.teaser.disclaimer,Страница бесплатного тизера (/teaser),"Это рекомендации для самопознания и профориентации, а не психологический диагноз и не медицинская услуга.","Bu oʻzini anglash va kasb tanlash boʻyicha tavsiyalar, psixologik tashxis yoki tibbiy xizmat emas.",
ui.teaser.generating.title,Страница бесплатного тизера (/teaser),Анализируем ваш профиль…,Profilingizni tahlil qilyapmiz…,
ui.teaser.generating.steps.0,Страница бесплатного тизера (/teaser),Смотрим на черты вашей личности,Shaxsiyatingiz xususiyatlarini koʻrib chiqyapmiz,
ui.teaser.generating.steps.1,Страница бесплатного тизера (/teaser),Сопоставляем интересы и ценности,Qiziqish va qadriyatlaringizni solishtiryapmiz,
ui.teaser.generating.steps.2,Страница бесплатного тизера (/teaser),Ищем ваши сильные стороны,Kuchli tomonlaringizni aniqlayapmiz,
ui.teaser.generating.steps.3,Страница бесплатного тизера (/teaser),Подбираем подходящие направления,Sizga mos yoʻnalishlarni tanlayapmiz,
ui.teaser.generating.steps.4,Страница бесплатного тизера (/teaser),Пишем ваш портрет,Portretingizni yozyapmiz,
ui.teaser.generating.wait,Страница бесплатного тизера (/teaser),Обычно это занимает до 40 секунд. Не закрывайте страницу.,Odatda bu 40 soniyagacha davom etadi. Sahifani yopmang.,
ui.teaser.failedTitle,Страница бесплатного тизера (/teaser),Не получилось составить портрет,Portretni tuzib boʻlmadi,
ui.teaser.failedText,Страница бесплатного тизера (/teaser),Что-то пошло не так на нашей стороне. Ваши ответы сохранены — попробуйте ещё раз.,Biz tomonda nimadir notoʻgʻri ketdi. Javoblaringiz saqlangan — yana bir bor urinib koʻring.,
ui.teaser.networkError,Страница бесплатного тизера (/teaser),Нет связи с сервером. Проверьте интернет и попробуйте ещё раз.,"Server bilan aloqa yoʻq. Internetni tekshirib, yana urinib koʻring.",
ui.teaser.retry,Страница бесплатного тизера (/teaser),Попробовать ещё раз,Qayta urinish,
ui.teaser.limitTitle,Страница бесплатного тизера (/teaser),Лимит портретов исчерпан,Portretlar limiti tugadi,
ui.teaser.limitSession,Страница бесплатного тизера (/teaser),"В этой сессии портрет уже составлен. Чтобы получить новый, пройдите тесты заново.",Bu sessiyada portret allaqachon tuzilgan. Yangisini olish uchun testlarni qaytadan topshiring.,
ui.teaser.limitIp,Страница бесплатного тизера (/teaser),Сегодня из вашей сети составили слишком много портретов. Попробуйте завтра.,Bugun sizning tarmogʻingizdan juda koʻp portret tuzildi. Ertaga urinib koʻring.,
ui.teaser.yourType,Страница бесплатного тизера (/teaser),Ваш тип,Sizning tipingiz,
ui.teaser.strengthsTitle,Страница бесплатного тизера (/teaser),Ваши сильные стороны,Kuchli tomonlaringiz,
ui.teaser.directionsTitle,Страница бесплатного тизера (/teaser),Вам подходит,Sizga mos yoʻnalishlar,
ui.teaser.surpriseTitle,Страница бесплатного тизера (/teaser),Неожиданное направление,Sizni hayron qoldirishi mumkin boʻlgan yoʻnalish,
ui.teaser.surpriseLocked,Страница бесплатного тизера (/teaser),Название и путь — в полном отчёте,Uning nomi va unga olib boradigan yoʻl — toʻliq hisobotda,
ui.teaser.tocTitle,Страница бесплатного тизера (/teaser),Что внутри полного отчёта,Toʻliq hisobotda nimalar bor,
ui.teaser.tocCount,Страница бесплатного тизера (/teaser),Разделов под замком: {n},Qulf ostidagi boʻlimlar: {n},
ui.teaser.generalToc.0,Страница бесплатного тизера (/teaser),Полный психологический портрет: как вы думаете и принимаете решения,Toʻliq psixologik portret: qanday fikrlaysiz va qanday qaror qabul qilasiz,
ui.teaser.generalToc.1,Страница бесплатного тизера (/teaser),Ваши сильные стороны и как на них опираться,Kuchli tomonlaringiz va ularga qanday tayanish mumkin,
ui.teaser.generalToc.2,Страница бесплатного тизера (/teaser),На что обратить внимание (мягко и честно),"Nimalarga eʼtibor berish kerak (ochiq, lekin ohista)",
ui.teaser.generalToc.3,Страница бесплатного тизера (/teaser),Точка А: ваши ресурсы и возможности сейчас,Hozir qayerdasiz: bor imkoniyatlaringiz,
ui.teaser.generalToc.4,Страница бесплатного тизера (/teaser),"Точка Б: цель, сформулированная измеримо","Qayerga bormoqchisiz: aniq, oʻlchab boʻladigan maqsad",
ui.teaser.generalToc.5,Страница бесплатного тизера (/teaser),Главный маршрут из точки А в точку Б по шагам,Maqsadgacha asosiy yoʻl — qadamma-qadam,
ui.teaser.generalToc.6,Страница бесплатного тизера (/teaser),Вариант «здесь и недорого»,"Shu yerda, katta xarajatsiz oʻqish yoʻli",
ui.teaser.generalToc.7,Страница бесплатного тизера (/teaser),Вариант «за рубежом»: экзамены и расходы (ориентировочно),Chet elda oʻqish yoʻli: qaysi imtihonlar kerak va taxminan qancha turadi,
ui.teaser.generalToc.8,Страница бесплатного тизера (/teaser),Вариант «онлайн для занятых»,Vaqti kam odamlar uchun onlayn yoʻl,
ui.teaser.generalToc.9,Страница бесплатного тизера (/teaser),Лёгкий путь и сложный путь: что даёт каждый,Oson yoʻl va qiyin yoʻl: qaysi biri nima beradi,
ui.teaser.generalToc.10,Страница бесплатного тизера (/teaser),Сроки и деньги: честные диапазоны,Muddat va pul: taxminiy oraliqlar,
ui.teaser.generalToc.11,Страница бесплатного тизера (/teaser),Как вам учиться эффективнее — под ваш стиль,"Qanday oʻrgansangiz, natija tezroq boʻladi",
ui.teaser.generalToc.12,Страница бесплатного тизера (/teaser),Будущее направления: что изменит ИИ,Yoʻnalish kelajagi: sunʼiy intellekt nimani oʻzgartiradi,
ui.teaser.generalToc.13,Страница бесплатного тизера (/teaser),Неожиданное направление: почему именно вы,Sizni hayron qoldiradigan yoʻnalish va nega u aynan sizga mos,
ui.teaser.generalToc.14,Страница бесплатного тизера (/teaser),Первые шаги в неожиданном направлении,Bu yoʻnalishda nimadan boshlash kerak,
ui.teaser.generalToc.15,Страница бесплатного тизера (/teaser),Что сделать уже на этой неделе,Shu haftaning oʻzida nima qilsangiz boʻladi,
ui.teaser.pathToc.knows_goal,Страница бесплатного тизера (/teaser),Проверка вашей цели на реальность,Maqsadingiz qanchalik real ekanini baholash,
ui.teaser.pathToc.no_goal,Страница бесплатного тизера (/teaser),"2–3 цели, подобранные под вас, с обоснованием",Sizga mos 2–3 ta maqsad va nega aynan ular,
ui.teaser.unlockTitle,Страница бесплатного тизера (/teaser),Откройте свой маршрут,Oʻz yoʻlingizni oching,
ui.teaser.unlockText,Страница бесплатного тизера (/teaser),"Полный отчёт: цель, шаги, сроки и деньги (ориентировочно), запасные варианты и неожиданное направление.","Toʻliq hisobot: maqsad, qadamlar, muddat va pul (taxminiy), zaxira yoʻllar va sizni hayron qoldirishi mumkin boʻlgan yoʻnalish.",
ui.teaser.recommended,Страница бесплатного тизера (/teaser),Рекомендуем вам,Sizga tavsiya qilamiz,
ui.teaser.levels.route,Страница бесплатного тизера (/teaser),«Маршрут»,«Marshrut»,
ui.teaser.levels.navigator,Страница бесплатного тизера (/teaser),«Навигатор»,«Navigator»,
ui.teaser.unlockCta,Страница бесплатного тизера (/teaser),Открыть полный отчёт,Toʻliq hisobotni ochish,
ui.teaser.haveReportTitle,Страница бесплатного тизера (/teaser),Ваш полный отчёт уже оплачен,Toʻliq hisobotingiz uchun toʻlov qilingan,
ui.teaser.haveReportCta,Страница бесплатного тизера (/teaser),Открыть полный отчёт,Toʻliq hisobotni ochish,
ui.teaser.lowQualityTitle,Страница бесплатного тизера (/teaser),Небольшая подсказка,Kichik maslahat,
ui.teaser.lowQualityText,Страница бесплатного тизера (/teaser),"Похоже, ответы на часть вопросов получились почти одинаковыми — так бывает при усталости или спешке. Поэтому портрет может быть не совсем точным. Если хотите, пройдите тесты ещё раз, когда будет спокойная минута: это бесплатно.","Aftidan, savollarning bir qismiga deyarli bir xil javob berilgan — odam charchaganda yoki shoshganda shunday boʻladi. Shuning uchun portret unchalik aniq chiqmagan boʻlishi mumkin. Istasangiz, bemalol vaqt topib, testlarni qaytadan topshiring: bu bepul.",
ui.teaser.retakeCta,Страница бесплатного тизера (/teaser),Пройти тесты ещё раз,Testlarni qaytadan topshirish,
ui.teaser.languageNames.uz,Страница бесплатного тизера (/teaser),узбекском,oʻzbek,
ui.teaser.languageNames.ru,Страница бесплатного тизера (/teaser),русском,rus,
ui.teaser.otherLanguage,Страница бесплатного тизера (/teaser),Этот портрет составлен на {lang} языке.,Bu portret {lang} tilida tuzilgan.,
ui.teaser.makeInLanguage,Страница бесплатного тизера (/teaser),Составить портрет на {lang} языке,Portretni {lang} tilida tuzish,
ui.teaser.langRegenUsed,Страница бесплатного тизера (/teaser),Портрет на другом языке в этой сессии уже составить нельзя.,Bu sessiyada portretni boshqa tilda endi tuzib boʻlmaydi.,
ui.teaser.devLink,Страница бесплатного тизера (/teaser),Посмотреть профиль и баллы (страница для разработки),Profil va ballarni koʻrish (ishlab chiqish uchun sahifa),
ui.teaser.devAiLogLink,Страница бесплатного тизера (/teaser),Журнал вызовов ИИ (страница для разработки),Sunʼiy intellekt murojaatlari jurnali (ishlab chiqish uchun sahifa),
ui.checkout.title,Страница оплаты (/checkout),Выберите полный отчёт,Toʻliq hisobotni tanlang,
ui.checkout.subtitle,Страница оплаты (/checkout),"Портрет у вас уже есть. Полный отчёт — это план действий: цель, шаги, сроки и деньги (ориентировочно), запасные варианты и неожиданное направление.","Portretingiz tayyor. Toʻliq hisobot — bu harakat rejasi: maqsad, qadamlar, muddat va xarajat (taxminiy), zaxira yoʻllar va sizni hayron qoldirishi mumkin boʻlgan yoʻnalish.",
ui.checkout.recommended,Страница оплаты (/checkout),Рекомендуем вам,Sizga tavsiya qilamiz,
ui.checkout.recommendedWhy.knows_goal,Страница оплаты (/checkout),Вы знаете свою цель: «Маршрут» проверит её на реальность и проложит путь к ней.,Siz maqsadingizni bilasiz: «Marshrut» u qanchalik real ekanini baholaydi va unga olib boradigan yoʻlni chizib beradi.,
ui.checkout.recommendedWhy.no_goal,Страница оплаты (/checkout),Вы ещё ищете цель: «Навигатор» подберёт 2–3 подходящие цели и путь к лучшей из них.,Siz hali maqsad izlayapsiz: «Navigator» sizga mos 2–3 ta maqsadni tanlaydi va eng yaxshisiga yoʻl koʻrsatadi.,
ui.checkout.levels.route.name,Страница оплаты (/checkout),«Маршрут»,«Marshrut»,
ui.checkout.levels.route.tagline,Страница оплаты (/checkout),"Для тех, кто знает цель",Maqsadini biladiganlar uchun,
ui.checkout.levels.route.features.0,Страница оплаты (/checkout),Полный портрет и сильные стороны,Toʻliq portret va kuchli tomonlaringiz,
ui.checkout.levels.route.features.1,Страница оплаты (/checkout),Проверка цели на реальность,Maqsad qanchalik real ekanini baholash,
ui.checkout.levels.route.features.2,Страница оплаты (/checkout),"Путь к цели по шагам: здесь недорого, за рубежом, онлайн","Maqsadgacha qadamma-qadam yoʻl: shu yerda arzon, xorijda, onlayn",
ui.checkout.levels.route.features.3,Страница оплаты (/checkout),Сроки и деньги — честными диапазонами,Muddat va xarajat — taxminiy oraliqlarda,
ui.checkout.levels.route.features.4,Страница оплаты (/checkout),1–2 неожиданных направления и первые шаги,Sizni hayron qoldirishi mumkin boʻlgan 1–2 yoʻnalish va birinchi qadamlar,
ui.checkout.levels.navigator.name,Страница оплаты (/checkout),«Навигатор»,«Navigator»,
ui.checkout.levels.navigator.tagline,Страница оплаты (/checkout),"Для тех, кто ищет себя",Oʻzini izlayotganlar uchun,
ui.checkout.levels.navigator.features.0,Страница оплаты (/checkout),"Всё, что есть в «Маршруте»",«Marshrut»dagi hamma narsa,
ui.checkout.levels.navigator.features.1,Страница оплаты (/checkout),Подбор 2–3 целей с обоснованием,Sizga mos 2–3 ta maqsad va nega aynan ular,
ui.checkout.levels.navigator.features.2,Страница оплаты (/checkout),Маршрут к лучшей цели — глубже и подробнее,Eng mos maqsadga yoʻl — chuqurroq va batafsilroq,
ui.checkout.levels.navigator.features.3,Страница оплаты (/checkout),Сравнение вариантов: лёгкий и сложный путь,Yoʻllarni solishtirish: oson va qiyin yoʻl,
ui.checkout.levels.navigator.features.4,Страница оплаты (/checkout),Больше анализа: пишет самая сильная модель ИИ,Chuqurroq tahlil: eng kuchli sunʼiy intellekt yozadi,
ui.checkout.oneTime,Страница оплаты (/checkout),разово,bir martalik,
ui.checkout.choose,Страница оплаты (/checkout),Выбрать,Tanlash,
ui.checkout.chosen,Страница оплаты (/checkout),Выбрано,Tanlandi,
ui.checkout.promoToggle,Страница оплаты (/checkout),Есть промокод?,Promokodingiz bormi?,
ui.checkout.promoLabel,Страница оплаты (/checkout),Промокод,Promokod,
ui.checkout.promoApply,Страница оплаты (/checkout),Применить,Qoʻllash,
ui.checkout.promoApplied,Страница оплаты (/checkout),Промокод применён: скидка {p}%,Promokod qoʻllandi: {p}% chegirma,
ui.checkout.promoRemove,Страница оплаты (/checkout),Убрать промокод,Promokodni olib tashlash,
ui.checkout.total,Страница оплаты (/checkout),К оплате,Toʻlov summasi,
ui.checkout.pay,Страница оплаты (/checkout),Оплатить {sum},{sum} toʻlash,
ui.checkout.getFree,Страница оплаты (/checkout),Получить отчёт бесплатно,Hisobotni bepul olish,
ui.checkout.sending,Страница оплаты (/checkout),Секунду…,Bir soniya…,
ui.checkout.testModeNote,Страница оплаты (/checkout),Тестовый режим оплаты: настоящие деньги не списываются.,Toʻlovning test rejimi: haqiqiy pul yechilmaydi.,
ui.checkout.cardNote,Страница оплаты (/checkout),Данные карты вы вводите на стороне платёжной системы — мы их не видим и не храним.,Karta maʼlumotlarini toʻlov tizimi sahifasida kiritasiz — biz ularni koʻrmaymiz va saqlamaymiz.,
ui.checkout.cancelled,Страница оплаты (/checkout),"Оплата отменена, деньги не списаны. Можно попробовать ещё раз.","Toʻlov bekor qilindi, pul yechilmadi. Yana urinib koʻrishingiz mumkin.",
ui.checkout.declined,Страница оплаты (/checkout),"Банк отклонил оплату, деньги не списаны. Попробуйте ещё раз или другой картой.","Bank toʻlovni rad etdi, pul yechilmadi. Yana urinib koʻring yoki boshqa kartadan toʻlang.",
ui.checkout.alreadyHave,Страница оплаты (/checkout),Этот отчёт у вас уже есть,Bu hisobot sizda allaqachon bor,
ui.checkout.openReport,Страница оплаты (/checkout),Открыть отчёт,Hisobotni ochish,
ui.checkout.backToPortrait,Страница оплаты (/checkout),Вернуться к портрету,Portretga qaytish,
ui.checkout.errors.promo_not_found,Страница оплаты (/checkout),"Такого промокода нет. Проверьте, нет ли опечатки.",Bunday promokod yoʻq. Xato yozilmaganini tekshiring.,
ui.checkout.errors.promo_inactive,Страница оплаты (/checkout),Этот промокод больше не действует.,Bu promokod endi amal qilmaydi.,
ui.checkout.errors.promo_expired,Страница оплаты (/checkout),Срок действия промокода закончился.,Promokodning amal qilish muddati tugagan.,
ui.checkout.errors.promo_used_up,Страница оплаты (/checkout),Этот промокод уже использован максимальное число раз.,Bu promokoddan belgilangan marta foydalanib boʻlingan.,
ui.checkout.errors.no_price,Страница оплаты (/checkout),Этот уровень сейчас недоступен.,Bu daraja hozir mavjud emas.,
ui.checkout.errors.payments_unavailable,Страница оплаты (/checkout),"Оплата картой появится совсем скоро. Если у вас есть промокод на 100%, введите его выше — отчёт откроется сразу.","Karta orqali toʻlov tez orada paydo boʻladi. Agar sizda 100% lik promokod boʻlsa, uni yuqorida kiriting — hisobot darhol ochiladi.",
ui.checkout.errors.server,Страница оплаты (/checkout),Что-то пошло не так на нашей стороне. Попробуйте ещё раз.,Biz tomonda nimadir xato ketdi. Yana bir bor urinib koʻring.,
ui.testPay.title,Тестовая оплата (/checkout/test),Тестовая оплата,Test toʻlovi,
ui.testPay.banner,Тестовая оплата (/checkout/test),"Это тестовая страница вместо Payme, Click или Uzum. Настоящие деньги не списываются. На боевом сайте её нет.","Bu Payme, Click yoki Uzum oʻrnidagi test sahifasi. Haqiqiy pul yechilmaydi. Asosiy saytda bu sahifa yoʻq.",
ui.testPay.level,Тестовая оплата (/checkout/test),Отчёт,Hisobot,
ui.testPay.base,Тестовая оплата (/checkout/test),Цена,Narxi,
ui.testPay.discount,Тестовая оплата (/checkout/test),Скидка по промокоду,Promokod boʻyicha chegirma,
ui.testPay.amount,Тестовая оплата (/checkout/test),К оплате,Toʻlov summasi,
ui.testPay.pay,Тестовая оплата (/checkout/test),Оплатить (тест),Toʻlash (test),
ui.testPay.decline,Тестовая оплата (/checkout/test),Имитировать отказ банка,Bank rad etganini sinab koʻrish,
ui.testPay.cancel,Тестовая оплата (/checkout/test),Отменить оплату,Toʻlovni bekor qilish,
ui.testPay.done,Тестовая оплата (/checkout/test),Этот платёж уже обработан.,Bu toʻlov allaqachon koʻrib chiqilgan.,
ui.report.disclaimer,Страница полного отчёта (/report),"Это рекомендации для самопознания и профориентации, а не психологический диагноз и не медицинская услуга.","Bu oʻzini anglash va kasb tanlash boʻyicha tavsiyalar, psixologik tashxis yoki tibbiy xizmat emas.",
ui.report.generating.title,Страница полного отчёта (/report),Пишем ваш полный отчёт…,Toʻliq hisobotingizni yozyapmiz…,
ui.report.generating.paid,Страница полного отчёта (/report),Оплата прошла — отчёт навсегда ваш.,Toʻlov oʻtdi — hisobot endi doim sizniki.,
ui.report.generating.steps.0,Страница полного отчёта (/report),Портрет и цель,Portret va maqsad,
ui.report.generating.steps.1,Страница полного отчёта (/report),Главный маршрут,Asosiy yoʻl,
ui.report.generating.steps.2,Страница полного отчёта (/report),Альтернативы и первые шаги,Boshqa yoʻnalishlar va birinchi qadamlar,
ui.report.generating.partOf,Страница полного отчёта (/report),Готово частей: {n} из {total},Tayyor qismlar: {total} tadan {n} tasi,
ui.report.generating.wait,Страница полного отчёта (/report),"Отчёт большой: обычно это занимает от 3 до 8 минут. Лучше не закрывать страницу. Если закроете — ничего не пропадёт: отчёт есть в вашем аккаунте, и мы продолжим, когда вы его откроете.","Hisobot katta: odatda 3 daqiqadan 8 daqiqagacha vaqt oladi. Sahifani yopmaganingiz maʼqul. Yopsangiz ham hech narsa yoʻqolmaydi: hisobot akkauntingizda turibdi, uni ochganingizda davom ettiramiz.",
ui.report.failedTitle,Страница полного отчёта (/report),Не получилось дописать отчёт,Hisobotni yozib boʻlmadi,
ui.report.failedText,Страница полного отчёта (/report),"Сбой на стороне ИИ. Оплата сохранена: нажмите кнопку — отчёт сгенерируется заново бесплатно, а уже готовые части не пропадут.","Sunʼiy intellekt tomonida nosozlik boʻldi. Toʻlovingiz saqlangan: tugmani bosing — hisobot bepul qaytadan yoziladi, tayyor qismlar esa yoʻqolmaydi.",
ui.report.regenerate,Страница полного отчёта (/report),Сгенерировать заново,Qaytadan yozish,
ui.report.networkError,Страница полного отчёта (/report),Нет связи с сервером. Проверьте интернет и попробуйте ещё раз.,"Server bilan aloqa yoʻq. Internetni tekshirib, yana urinib koʻring.",
ui.report.retry,Страница полного отчёта (/report),Попробовать ещё раз,Yana urinib koʻrish,
ui.report.kicker,Страница полного отчёта (/report),Полный отчёт · {level},Toʻliq hisobot · {level},
ui.report.createdAt,Страница полного отчёта (/report),Составлен {date},Tuzilgan sana: {date},
ui.report.otherLanguage,Страница полного отчёта (/report),Отчёт написан на {lang} языке — на языке сайта в момент оплаты.,Hisobot {lang} tilida yozilgan — toʻlov paytida sayt shu tilda edi.,
ui.report.languageNames.uz,Страница полного отчёта (/report),узбекском,oʻzbek,
ui.report.languageNames.ru,Страница полного отчёта (/report),русском,rus,
ui.report.toc,Страница полного отчёта (/report),Содержание,Mundarija,
ui.report.sections.portrait,Страница полного отчёта (/report),Кто вы,Siz kimsiz,
ui.report.sections.goal,Страница полного отчёта (/report),Ваша цель,Maqsadingiz,
ui.report.sections.reality,Страница полного отчёта (/report),Цель и реальность,Maqsad qanchalik real,
ui.report.sections.path,Страница полного отчёта (/report),Главный маршрут,Asosiy yoʻl,
ui.report.sections.learning,Страница полного отчёта (/report),Как вам учиться,Qanday oʻqish sizga oson,
ui.report.sections.future,Страница полного отчёта (/report),Будущее и ИИ,Kelajak va sunʼiy intellekt,
ui.report.sections.alternatives,Страница полного отчёта (/report),Неожиданные направления,Sizni hayron qoldirishi mumkin boʻlgan yoʻnalishlar,
ui.report.sections.actNow,Страница полного отчёта (/report),Что сделать на этой неделе,Shu hafta nima qilish kerak,
ui.report.strengths,Страница полного отчёта (/report),Сильные стороны,Kuchli tomonlar,
ui.report.watchouts,Страница полного отчёта (/report),На что обратить внимание,Nimalarga eʼtibor berish kerak,
ui.report.goalStated,Страница полного отчёта (/report),Ваша цель — точка Б,Maqsadingiz — qayerga bormoqchisiz,
ui.report.goalConstructed,Страница полного отчёта (/report),"Цель, которую мы подобрали для вас, — точка Б",Siz uchun tanlangan maqsad — qayerga borasiz,
ui.report.options,Страница полного отчёта (/report),"Цели, которые вам подходят",Sizga mos maqsadlar,
ui.report.verdicts.fits,Страница полного отчёта (/report),Цель вам подходит,Maqsad sizga mos,
ui.report.verdicts.ambitious,Страница полного отчёта (/report),"Цель амбициозная, но достижимая","Maqsad katta, lekin erishsa boʻladi",
ui.report.verdicts.mismatch,Страница полного отчёта (/report),"Есть путь, где вы раскроетесь сильнее",Oʻzingizni yaxshiroq ochadigan yoʻl bor,
ui.report.adjustment,Страница полного отчёта (/report),Что можно скорректировать,Nimani oʻzgartirish mumkin,
ui.report.choiceIsYours,Страница полного отчёта (/report),Выбор всегда за вами.,Tanlov doim sizniki.,
ui.report.routesTitle,Страница полного отчёта (/report),Варианты маршрута,Yoʻl tanlovlari,
ui.report.routesNote,Страница полного отчёта (/report),Сроки и суммы — ориентировочные диапазоны.,Muddat va summalar — taxminiy oraliqlar.,
ui.report.routeTypes.local_cheap,Страница полного отчёта (/report),Здесь и недорого,Shu yerda va arzon,
ui.report.routeTypes.abroad,Страница полного отчёта (/report),За рубежом,Xorijda,
ui.report.routeTypes.online,Страница полного отчёта (/report),Онлайн для занятых,Band odamlar uchun onlayn,
ui.report.effort.easy,Страница полного отчёта (/report),Лёгкий путь,Oson yoʻl,
ui.report.effort.hard,Страница полного отчёта (/report),Сложный путь,Qiyin yoʻl,
ui.report.time,Страница полного отчёта (/report),Сроки,Muddat,
ui.report.cost,Страница полного отчёта (/report),Деньги,Xarajat,
ui.report.steps,Страница полного отчёта (/report),Шаги,Qadamlar,
ui.report.requirements,Страница полного отчёта (/report),Что понадобится,Nimalar kerak boʻladi,
